medio,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,medio,bajo,bajo,bajo,medio,bajo,bajo,humo
alto,alto,alto,bajo,bajo,bajo,medio,bajo,bajo,humo
alto,alto,alto,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,alto,bajo,bajo,bajo,bajo,bajo,bajo,humo
bajo,bajo,medio,bajo,bajo,bajo,bajo,bajo,bajo,humo
alto,alto,alto,bajo,bajo,bajo,bajo,bajo,bajo,humo
alto,alto,alto,bajo,bajo,bajo,medio,medio,bajo,humo
bajo,bajo,bajo,alto,alto,alto,bajo,bajo,medio,no incendio
bajo,bajo,bajo,medio,medio,medio,bajo,bajo,alto,incendio
medio,medio,medio,medio,medio,bajo,bajo,bajo,bajo,humo
medio,bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,humo
medio,medio,bajo,medio,alto,medio,bajo,bajo,bajo,no incendio
medio,medio,bajo,medio,medio,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,humo
bajo,bajo,bajo,alto,medio,bajo,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,incendio
alto,alto,alto,bajo,bajo,bajo,bajo,alto,bajo,humo
medio,bajo,bajo,medio,bajo,bajo,bajo,medio,bajo,humo
bajo,bajo,bajo,alto,medio,bajo,bajo,bajo,bajo,no incendio
bajo,bajo,bajo,medio,bajo,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,medio,bajo,bajo,bajo,medio,bajo,bajo,humo
bajo,bajo,bajo,medio,alto,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,alto,incendio
alto,medio,medio,medio,medio,medio,bajo,bajo,medio,humo
alto,alto,alto,bajo,bajo,bajo,alto,bajo,bajo,humo
medio,medio,medio,medio,medio,medio,medio,bajo,medio,humo
medio,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
bajo,bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,incendio
alto,alto,alto,bajo,bajo,bajo,medio,bajo,bajo,humo
bajo,bajo,bajo,medio,medio,bajo,bajo,bajo,medio,no incendio
bajo,bajo,bajo,medio,medio,bajo,bajo,bajo,medio,incendio
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,alto,bajo,bajo,bajo,bajo,bajo,bajo,humo
bajo,bajo,bajo,medio,bajo,bajo,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,incendio
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,humo
alto,alto,medio,medio,medio,medio,medio,bajo,medio,humo
bajo,bajo,bajo,medio,bajo,bajo,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,incendio
alto,medio,medio,bajo,bajo,bajo,bajo,medio,bajo,humo
alto,alto,alto,bajo,bajo,bajo,alto,bajo,bajo,humo
alto,alto,alto,bajo,bajo,bajo,bajo,bajo,bajo,humo
alto,alto,alto,bajo,bajo,medio,alto,bajo,bajo,humo
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,humo
bajo,bajo,bajo,medio,bajo,bajo,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,incendio
alto,alto,alto,bajo,bajo,bajo,alto,medio,bajo,humo
alto,alto,alto,bajo,bajo,bajo,alto,medio,bajo,humo
alto,alto,alto,bajo,bajo,bajo,alto,medio,bajo,humo
